EXP_id	Herb/ingredient_id	Herb/ingredient_name	Herb/ingredient	GSE_id	Organism	Strain	Tissue	Cell_Type	Cell_line	Experiment_type	Sequence_type	Experiment_subject	Experiment_subject_detail	Experiment_special_pretreatment	Control_condition	Control_samples	Treatment_condition	Treatment_samples	Drug_delivery	Plat_info
HBEXP000387	HBIN026793	fructose	Ingredient	GSE70218	Homo sapiens		Skeletal muscle			Expression profiling by array	Total RNA	human	Skeletal muscle	/	no treatment	GSM1720932; GSM1720935; GSM1720937; GSM1720939; GSM1720941; GSM1720943; GSM1720945; GSM1720947; GSM1720949	a high fructose diet during 7days	GSM1720933; GSM1720934; GSM1720936; GSM1720938; GSM1720940; GSM1720942; GSM1720944; GSM1720946; GSM1720948	oral gavage	GPL570:[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array
HBEXP000388	HBIN026793	fructose	Ingredient	GSE92502	Mus musculus	C57BL/6J	Liver			Expression profiling by array	Total RNA	mouse  C56BL/6 Male	C57BL/6J; Liver	/	a chow diet ad libitum	GSM2430786; GSM2430793; GSM2430796; GSM2430799; GSM2430803; GSM2430806	a chow diet ad libitum with Fructose for 24h	GSM2430788; GSM2430791; GSM2430794; GSM2430801; GSM2430805; GSM2430808	feed	GPL21163:Agilent-074809 SurePrint G3 Mouse GE v2 8x60K Microarray [Probe Name version]
HBEXP000389	HBIN027030	gallic acid	Ingredient	GSE17614	Mus musculus	BALB/c	J558 myeloma			Expression profiling by array	Total RNA	mouse	BALB/c; J558 myeloma	/	distilled water	GSM439861; GSM439862; GSM439863; GSM439864	OPP (1500 ppm GAE) as drinks ad libitum for 4 weeks	GSM439865; GSM439866; GSM439867	treated	GPL6422:Sentrix MouseRef-8 Expression BeadChip
HBEXP000390	HBIN027030	Gallic acid	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Gallic acid for 12h	GSM2286352; GSM2286353	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.80 Array
HBEXP000391	HBIN027030	gallic acid	Ingredient	GSE86798	Homo sapiens		Dermal	Fibroblast		Expression profiling by array	Total RNA	human cellline	Dermal; Fibroblast	IL-1┑ (1ng/mL) were added and incubated for 4 h	no treatment	GSM2308867; GSM2308878	Gallic acid (0.3 ug/mL) for 30min	GSM2308869; GSM2308880	treated	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000392	HBIN027030	gallic acid	Ingredient	GSE86798	Homo sapiens		Dermal	Fibroblast		Expression profiling by array	Total RNA	human cellline	Dermal; Fibroblast	IL-1┑ (1ng/mL) were added and incubated for 4 h	no treatment	GSM2308867; GSM2308878	Gallic acid (1 ug/mL) for 30min	GSM2308870; GSM2308881	treated	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000393	HBIN027030	gallic acid	Ingredient	GSE86798	Homo sapiens		Dermal	Fibroblast		Expression profiling by array	Total RNA	human cellline	Dermal; Fibroblast	IL-1┑ (1ng/mL) were added and incubated for 4 h	no treatment	GSM2308867; GSM2308878	Gallic acid (3 ug/mL) for 30min	GSM2308871; GSM2308882	treated	GPL10558:Illumina HumanHT-12 V4.0 expression beadchip
HBEXP000394	HBIN027030	gallic acid	Ingredient	GSE99993	Homo sapiens			Non-small cell lung carcinoma	H1299	Expression profiling by array	Total RNA	human cellline	Non-small cell lung carcinoma; H1299	/	no treatment	GSM2667440; GSM2667441	10 mM GA for 120h	GSM2667438; GSM2667439	treated	GPL23159:[Clariom_S_Human] Affymetrix Clariom S Assay, Human (Includes Pico Assay)
HBEXP000395	HBIN027349	garcinol	Ingredient	GSE7818	Homo sapiens			Cervical cancer	HeLa	Expression profiling by array	Total RNA	human cellline	Cervical cancer; HeLa	/	DMSO	GSM189700; GSM189702	garcinol	GSM189703; GSM189704	treated	GPL5166:Genotypic/UHN Human ss-H19K8 cDNA Array
HBEXP000396	HBIN027384	Gastrodin	Ingredient	GSE85871	Homo sapiens			Breast cancer	MCF-7	Expression profiling by array	Total RNA	human cellline	Breast cancer; MCF-7	/	vehicle control (DMSO)	GSM2286248; GSM2286249; GSM2286316; GSM2286317; GSM2286398; GSM2286399	10uM Gastrodin for 12h	GSM2286238; GSM2286239	treated	GPL571:[HG-U133A_2] Affymetrix Human Genome U133A 2.25 Array
