Herb_,Herb_cn_name,segmented_function,segmented_indication
HERB000546,补骨脂,[],[]
HERB000547,,[],[]
HERB000548,,[],[]
HERB000549,,[],[]
HERB000550,补血草,[],[]
HERB000551,捕蝇草,[],[]
HERB000552,不育红,[],[]
HERB000553,布渣叶,[],[]
HERB000554,,[],[]
HERB000555,,[],[]
HERB000556,,[],[]
HERB000557,,[],[]
HERB000558,菜豆树,[],[]
HERB000559,,[],[]
HERB000560,,[],[]
HERB000561,苍耳,[],[]
HERB000562,蔡文千金藤,[],[]
HERB000563,蚕豆,[],[]
HERB000564,蚕豆荚壳,[],[]
HERB000565,蚕豆茎,[],[]
HERB000566,蚕豆壳,[],[]
HERB000567,蚕豆叶,[],[]
HERB000568,蚕茧,[],[]
HERB000569,蚕桑,[],[]
HERB000570,蚕沙,[],[]
HERB000571,蝉蜕,[],[]
HERB000572,,[],[]
HERB000573,苍白秤钩风,[],[]
HERB000574,,[],[]
HERB000575,,[],[]
HERB000576,,[],[]
HERB000577,苍耳,[],[]
HERB000578,苍耳根,[],[]
HERB000579,苍耳花,[],[]
HERB000580,苍耳子,[],['0.93']
HERB000581,,[],[]
HERB000582,,[],[]
HERB000583,苍山香茶菜,[],[]
HERB000584,苍术,[],[]
HERB000585,,[],[]
HERB000586,草贝母,[],[]
HERB000587,草本威灵仙,[],[]
HERB000588,草苁蓉,[],[]
HERB000589,草地毛茛,[],[]
HERB000590,草地乌头,[],[]
HERB000591,草甸千里光,[],[]
HERB000592,草豆蔻,[],[]
HERB000593,草菇,[],[]
HERB000594,草果,[],[]
HERB000595,草胡椒,[],[]
HERB000596,草决明,[],"['rabbits.2', 'limbs.3', 'rabbits.4', 'laxative.5']"
HERB000597,草寇仁,[],[]
HERB000598,草帽假杜鹃,[],[]
HERB000599,草莓,[],[]
HERB000600,草莓车轴草,[],[]
HERB000601,草芍药,[],[]
HERB000602,草酸,[],[]
HERB000603,草问荆,[],[]
HERB000604,草乌,[],[]
HERB000605,草乌酒,[],[]
HERB000606,草乌头,[],[]
HERB000607,草乌叶,[],[]
HERB000608,草香豌豆,[],[]
HERB000609,糙叶败酱,[],[]
HERB000610,,[],[]
HERB000611,草原大蓟,[],[]
HERB000612,草原老鹳草,[],[]
HERB000613,海风藤,[],[]
HERB000614,侧柏叶,[],[]
HERB000615,,[],[]
HERB000616,侧子,[],[]
HERB000617,,[],[]
HERB000618,层孔菌,[],[]
HERB000619,茶花,[],[]
HERB000620,茶梅,[],[]
HERB000621,,[],[]
HERB000622,叉歧繁缕,[],[]
HERB000623,,[],[]
HERB000624,,[],[]
HERB000625,叉蕊薯蓣,[],[]
HERB000626,茶室蛇鞭菊,[],[]
HERB000627,茶树,[],[]
HERB000628,茶树根,[],[]
HERB000629,茶条槭,[],[]
HERB000630,,[],[]
HERB000631,茶芎,[],[]
HERB000632,茶叶,[],[]
HERB000633,茶油,[],[]
HERB000634,察隅遍地金,[],[]
HERB000635,茶子,[],[]
HERB000636,茶子心,[],[]
HERB000637,叉子圆柏,[],[]
HERB000638,柴胡,[],[]
HERB000639,柴胡装千里光,[],[]
HERB000640,柴胡装千里光,[],[]
HERB000641,柴黄姜,[],[]
HERB000642,柴黄姜,[],[]
HERB000643,,[],[]
HERB000644,,[],[]
HERB000645,蟾蜍,[],[]
HERB000646,蟾蜍胆,[],[]
HERB000647,潺槁木姜子,[],[]
HERB000648,蟾皮,[],[]
HERB000649,黄檀,[],[]
HERB000650,蟾酥,[],[]
HERB000651,蝉蜕,[],[]
HERB000652,,[],[]
HERB000653,蝉翼藤,[],[]
HERB000654,长白山报春,[],[]
HERB000655,长白松,[],[]
HERB000656,长瓣金莲花,[],[]
HERB000657,,[],[]
HERB000658,,[],[]
HERB000659,长柄凤尾蕨,[],[]
HERB000660,长柄胡椒,[],[]
HERB000661,长柄七叶树,[],[]
HERB000662,长柄圆柏,[],[]
HERB000663,长春花,[],[]
HERB000664,常春藤,[],[]
HERB000665,常春油麻藤,[],[]
HERB000666,,[],[]
HERB000667,长萼金莲木皮,[],[]
HERB000668,长萼瞿麦,[],[]
HERB000669,长萼香茶菜,[],[]
HERB000670,长梗百蕊草,[],[]
HERB000671,长梗粗榧,[],[]
HERB000672,长梗冬青,[],[]
HERB000673,长梗绞股蓝,[],[]
HERB000674,长梗南五味子,[],[]
HERB000675,长梗郁李仁,[],[]
HERB000676,长管假茉莉,[],[]
HERB000677,长管香茶菜,[],[]
HERB000678,长管萱草,[],[]
HERB000679,长果荜茇,[],[]
HERB000680,长果山橙,[],[]
HERB000681,长果雪胆,[],[]
HERB000682,长果罂粟,[],[]
HERB000683,长胡椒,[],[]
HERB000684,长话版克亚树,[],[]
HERB000685,长话钩藤,[],[]
HERB000686,,[],[]
HERB000687,长话图拉书,[],[]
HERB000688,,[],[]
HERB000689,马钱子,[],[]
HERB000690,长喙桉,[],[]
HERB000691,,[],[]
HERB000692,长角豆,[],[]
HERB000693,,[],[]
HERB000694,长距延胡索,[],[]
HERB000695,,[],[]
HERB000696,,[],[]
HERB000697,长毛风毛菊,[],[]
HERB000698,绒叶含笑,[],[]
HERB000699,长毛香科科,[],[]
HERB000700,长毛籽远志,[],[]
HERB000701,,[],[]
HERB000702,菖蒲,[],[]
HERB000703,长前胡,[],[]
HERB000704,长柔毛委陵菜,[],[]
HERB000705,长蕊琉璃草,[],[]
HERB000706,常山,[],[]
HERB000707,长生铁角蕨,[],[]
HERB000708,长蒴黄麻,[],[]
HERB000709,巴豆,[],[]
HERB000710,长穗地榆,[],[]
HERB000711,,[],[]
HERB000712,长筒瞿麦,[],[]
HERB000713,,[],[]
HERB000714,长尾复叶耳蕨,[],[]
HERB000715,长尾婆婆纳,[],[]
HERB000716,香茅,[],[]
HERB000717,,[],[]
HERB000718,,[],[]
HERB000719,长药隔重楼,[],[]
HERB000720,长叶艾菊,[],[]
HERB000721,长叶暗罗,[],[]
HERB000722,长叶薄荷,[],[]
HERB000723,,[],[]
HERB000724,长叶长春花,[],[]
HERB000725,长叶车前,[],[]
HERB000726,长叶地榆,[],[]
